runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
ndcg_cut_10           	1300152499	0.7265	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_11           	1300152499	0.7265	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_12           	1300152499	0.7726	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_13           	1300152499	0.7726	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_14           	1300152499	0.7726	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_15           	1300152499	0.7726	0.5560	0.7079	0.7597	0.6636	0.7265
ndcg_cut_16           	1300152499	0.7726	0.5560	0.7079	0.7597	0.7053	0.7265
ndcg_cut_17           	1300152499	0.7726	0.5560	0.7079	0.7597	0.7053	0.7674
ndcg_cut_18           	1300152499	0.7726	0.5560	0.7079	0.7597	0.7053	0.7674
ndcg_cut_19           	1300152499	0.7726	0.5560	0.7079	0.7597	0.7053	0.7674
ndcg_cut_20           	1300152499	0.7726	0.5560	0.7079	0.7597	0.7053	0.7674
set_P                 	1300152499	0.2000	0.1000	0.2000	0.2000	0.2000	0.2000
set_recall            	1300152499	0.6667	0.3333	0.6667	0.6667	0.6667	0.6667
set_F                 	1300152499	0.3077	0.1538	0.3077	0.3077	0.3077	0.3077
num_ret               	148489175	20	20	20	20	20	20
num_rel               	148489175	5	5	5	5	5	5
num_rel_ret           	148489175	5	2	3	3	4	3
map                   	148489175	0.3575	0.4000	0.3190	0.2867	0.5746	0.1022
ndcg_cut_01            	148489175	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000
ndcg_cut_02            	148489175	0.1934	1.0000	0.3869	0.0000	1.0000	0.0000
ndcg_cut_03            	148489175	0.1677	0.8671	0.6013	0.2658	0.8671	0.0000
ndcg_cut_04            	148489175	0.1505	0.7780	0.5395	0.4440	0.7780	0.0000
ndcg_cut_05            	148489175	0.1378	0.7123	0.4939	0.4909	0.7123	0.0000
ndcg_cut_06            	148489175	0.2933	0.7123	0.4939	0.4909	0.7123	0.0000
ndcg_cut_07            	148489175	0.2933	0.7123	0.5667	0.4909	0.7851	0.0000
ndcg_cut_08            	148489175	0.4311	0.7123	0.5667	0.4909	0.7851	0.0000
ndcg_cut_09            	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.0657
ndcg_cut_10           	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.1289
ndcg_cut_11           	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.1289
ndcg_cut_12           	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.1289
ndcg_cut_13           	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.1289
ndcg_cut_14           	148489175	0.4311	0.7123	0.5667	0.4909	0.8508	0.1289
ndcg_cut_15           	148489175	0.4857	0.7123	0.5667	0.4909	0.8508	0.2380
ndcg_cut_16           	148489175	0.5391	0.7123	0.5667	0.4909	0.8508	0.2380
ndcg_cut_17           	148489175	0.5391	0.7123	0.5667	0.4909	0.8508	0.2380
ndcg_cut_18           	148489175	0.5391	0.7123	0.5667	0.4909	0.8508	0.2380
ndcg_cut_19           	148489175	0.5391	0.7123	0.5667	0.4909	0.8508	0.2380
ndcg_cut_20           	148489175	0.5391	0.7123	0.5667	0.4909	0.8508	0.2380
set_P                 	148489175	0.2500	0.1000	0.1500	0.1500	0.2000	0.1500
set_recall            	148489175	1.0000	0.4000	0.6000	0.6000	0.8000	0.6000
set_F                 	148489175	0.4000	0.1600	0.2400	0.2400	0.3200	0.2400
num_ret               	1560839038	20	20	20	20	20	20
num_rel               	1560839038	10	10	10	10	10	10
num_rel_ret           	1560839038	9	2	6	7	6	5
map                   	1560839038	0.7408	0.0536	0.4830	0.6138	0.4160	0.4833
ndcg_cut_01            	1560839038	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1560839038	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1560839038	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	1560839038	1.0000	0.1681	0.8319	1.0000	0.8319	1.0000
ndcg_cut_05            	1560839038	1.0000	0.1461	0.8539	1.0000	0.7227	0.8688
ndcg_cut_06            	1560839038	0.8922	0.1303	0.7619	0.8922	0.6448	0.8829
ndcg_cut_07            	1560839038	0.8105	0.2100	0.7837	0.8105	0.5857	0.8020
ndcg_cut_08            	1560839038	0.7768	0.2013	0.7511	0.7768	0.5614	0.7687
ndcg_cut_09            	1560839038	0.7472	0.1936	0.7225	0.7472	0.5400	0.7394
ndcg_cut_10           	1560839038	0.7914	0.1868	0.6970	0.7914	0.5916	0.7133
ndcg_cut_11           	1560839038	0.8596	0.1868	0.6970	0.7914	0.5916	0.7133
ndcg_cut_12           	1560839038	0.8596	0.1868	0.6970	0.7914	0.5916	0.7133
ndcg_cut_13           	1560839038	0.8596	0.1868	0.6970	0.8556	0.6558	0.7133
ndcg_cut_14           	1560839038	0.8909	0.1868	0.6970	0.8556	0.6558	0.7133
ndcg_cut_15           	1560839038	0.9214	0.1868	0.6970	0.8556	0.6558	0.7133
ndcg_cut_16           	1560839038	0.9214	0.1868	0.6970	0.8556	0.6857	0.7133
ndcg_cut_17           	1560839038	0.9214	0.1868	0.6970	0.8556	0.6857	0.7133
ndcg_cut_18           	1560839038	0.9214	0.1868	0.6970	0.8556	0.6857	0.7133
ndcg_cut_19           	1560839038	0.9214	0.1868	0.7535	0.8556	0.6857	0.7133
ndcg_cut_20           	1560839038	0.9214	0.1868	0.7535	0.8556	0.6857	0.7133
