runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_ret               	36783474	5	5	5	5	5	5
num_rel               	36783474	1	1	1	1	1	1
num_rel_ret           	36783474	1	0	1	1	0	0
recip_rank            	36783474	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	36783474	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	36783474	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	36783474	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	419289932	5	5	5	5	5	5
num_rel               	419289932	1	1	1	1	1	1
num_rel_ret           	419289932	0	0	0	0	0	0
recip_rank            	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	456839985	5	5	5	5	5	5
num_rel               	456839985	1	1	1	1	1	1
num_rel_ret           	456839985	0	0	0	0	0	0
recip_rank            	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
